Site	Site (PSMSL Name)	PSMSL ID	NOAA Station ID	lambda	u	shape	5	95	scale	5	95	AEP1.0	5	95	AEP0.1	5	95	AEP0.01	5	95	AEP0.001	5	95	AEP 1.0 expected	AEP0.1 expected	AEP0.01 expected	AEP0.001 expected	Vshape	Vscale	Vscaleshape
Eastport, ME	EASTPORT	332	8410140	2.3272	0.9330	0.0324	-0.1190	0.1838	0.0977	0.0771	0.1181	1.0165	1.0018	1.0308	1.2553	1.2015	1.3167	1.5129	1.3604	1.7338	1.7027	1.4461	2.1417	1.0161	1.2566	1.5393	1.8024	0.008466	0.0001552	-0.0008013
Portland, ME	PORTLAND (MAINE)	183	8418150	2.5192	0.5957	-0.0459	-0.1457	0.0540	0.1100	0.0943	0.1256	0.6952	0.6832	0.7065	0.9248	0.8907	0.9649	1.1307	1.0430	1.2466	1.2614	1.1250	1.4678	0.6949	0.9256	1.1426	1.3032	0.003688	9.068e-05	-0.000424
Boston, MA	BOSTON	235	8443970	2.5699	0.6214	0.0739	-0.0472	0.1948	0.1109	0.0930	0.1288	0.7297	0.7159	0.7434	1.0266	0.9728	1.0949	1.3796	1.2109	1.6219	1.6632	1.3627	2.1827	0.7295	1.0282	1.4033	1.7559	0.005416	0.0001178	-0.0005637
Woods Hole, MA	WOODS HOLE (OCEAN. INST.)	367	8447930	2.8750	0.3955	0.0495	-0.0896	0.1889	0.1407	0.1140	0.1675	0.5479	0.5254	0.5689	0.9082	0.8282	0.9977	1.3103	1.0762	1.6748	1.6212	1.2260	2.3382	0.5475	0.9098	1.3500	1.7654	0.00717	0.0002647	-0.0009637
Nantucket Island, MA	NANTUCKET ISLAND	1111	8449130	2.7755	0.4098	0.0982	-0.0479	0.2442	0.0969	0.0772	0.1165	0.5135	0.4961	0.5309	0.7897	0.7198	0.8729	1.1358	0.9221	1.4662	1.4359	1.0505	2.1249	0.5134	0.7912	1.1739	1.5712	0.007917	0.0001427	-0.0006903
Newport, RI	NEWPORT	351	8452660	2.7857	0.4663	0.1852	0.0649	0.3053	0.1037	0.0871	0.1203	0.5830	0.5683	0.5980	0.9421	0.8689	1.0322	1.4951	1.2277	1.8837	2.0523	1.5068	2.9405	0.5830	0.9436	1.5265	2.1840	0.005336	0.0001018	-0.0004561
Providence, RI	PROVIDENCE (STATE PIER)	430	8454000	2.9428	0.5179	0.2781	0.0534	0.5023	0.1133	0.0824	0.1442	0.6602	0.6289	0.6898	1.1454	0.9785	1.3970	2.0737	1.3766	3.6292	3.1958	1.6828	7.5792	0.6593	1.1541	2.2600	4.0133	0.01857	0.0003534	-0.001713
New London, CT	NEW LONDON	429	8461490	3.0395	0.4334	0.1149	-0.0056	0.2355	0.1511	0.1267	0.1755	0.6132	0.5889	0.6330	1.0627	0.9715	1.1763	1.6485	1.3644	2.0906	2.1613	1.6403	3.1151	0.6121	1.0655	1.6938	2.3301	0.005363	0.0002201	-0.0007267
Bridgeport, CT	BRIDGEPORT	1068	8467150	2.8285	0.5286	0.1335	-0.0449	0.3114	0.1456	0.1104	0.1809	0.6911	0.6582	0.7223	1.1428	0.9972	1.3132	1.7618	1.3224	2.4780	2.3345	1.5295	3.9295	0.6898	1.1436	1.8449	2.6630	0.01174	0.0004594	-0.001487
Montauk, NY	MONTAUK	519	8510560	2.9818	0.4114	-0.0437	-0.1676	0.0803	0.1705	0.1401	0.2009	0.5935	0.5671	0.6186	0.9459	0.8712	1.0370	1.2672	1.0975	1.5291	1.4714	1.2069	1.9340	0.5926	0.9499	1.3003	1.5809	0.005664	0.0003415	-0.001009
