Station Name,Country,ID,Lat.,Lon.,Coastline
HELIGMAN,ALA,231,60.2,19.3,60
KOBBAKLINTAR,ALA,63,60.033,19.883,60
LEMSTROM,ALA,84,60.1,20.017,60
FOGLO / DEGERBY,ALA,249,60.032,20.385,60
PAGO PAGO,ASM,539,-14.28,-170.69,745
BAHIA ESPERANZA,ATA,988,-63.3,-56.917,999
ARGENTINE ISLANDS,ATA,913,-65.246,-64.257,999
PUERTO SOBERANIA,ATA,1603,-62.483,-59.633,999
ALMIRANTE BROWN,ATA,858,-64.9,-62.867,999
CAPE ROBERTS ANTARCTICA,ATA,1763,-77.034,163.191,999
SCOTT BASE,ATA,2029,-77.85,166.769,999
ROTHERA,ATA,1931,-67.571,-68.13,999
USHUAIA I,ARG,874,-54.817,-68.217,860
USHUAIA II,ARG,1271,-54.817,-68.217,860
PUERTO DESEADO,ARG,185,-47.75,-65.917,860
COMODORO RIVADAVIA,ARG,181,-45.867,-67.483,860
PUERTO MADRYN,ARG,501,-42.767,-65.033,860
PIRAMIDE,ARG,867,-42.583,-64.283,860
ROSALES,ARG,870,-38.933,-62.067,860
QUEQUEN,ARG,223,-38.583,-58.7,860
MAR DEL PLATA (PUERTO),ARG,857,-38.033,-57.533,860
MAR DEL PLATA (NAVAL BASE),ARG,819,-38.033,-57.517,860
MAR DE AJO,ARG,1542,-36.7,-56.667,860
RIO SANTIAGO,ARG,897,-34.85,-57.9,860
BUENOS AIRES,ARG,157,-34.6,-58.367,860
PALERMO,ARG,832,-34.567,-58.4,860
ISLA MARTIN GARCIA,ARG,864,-34.183,-58.25,860
DARWIN,AUS,935,-12.472,130.846,680
MILNER BAY (GROOTE EYLANDT),AUS,1160,-13.86,136.416,680
KARUMBA,AUS,835,-17.5,140.833,680
WEIPA,AUS,1157,-12.667,141.867,680
BOOBY ISLAND,AUS,1268,-10.603,141.91,680
TURTLE HEAD,AUS,1749,-10.522,142.212,680
PORT DOUGLAS 2,AUS,1471,-16.483,145.467,680
CAIRNS,AUS,953,-16.917,145.783,680
MOURILYAN HARBOUR,AUS,1629,-17.583,146.083,680
LUCINDA,AUS,1630,-18.517,146.383,680
BOWEN II,AUS,2074,-20.017,148.25,680
TOWNSVILLE I,AUS,637,-19.25,146.833,680
CAPE FERGUSON,AUS,1492,-19.277,147.058,680
SHUTE HARBOUR 2,AUS,1569,-20.283,148.783,680
MACKAY,AUS,564,-21.1,149.233,680
ROSSLYN BAY,AUS,1760,-23.161,150.79,680
PORT ALMA,AUS,2072,-23.583,150.867,680
GLADSTONE,AUS,825,-23.854,151.314,680
"BUNDABERG, BURNETT HEADS",AUS,1154,-24.767,152.383,680
BRISBANE (WEST INNER BAR),AUS,822,-27.367,153.167,680
BALLINA,AUS,319,-28.867,153.583,680
EVANS HEAD,AUS,1229,-29.117,153.433,680
YAMBA,AUS,310,-29.43,153.362,680
COFF'S HARBOUR I,AUS,799,-30.317,153.083,680
LORD HOWE ISLAND,AUS,818,-31.517,159.067,680
NEWCASTLE I,AUS,320,-32.917,151.8,680
NEWCASTLE II,AUS,1335,-32.917,151.8,680
NEWCASTLE III,AUS,267,-32.917,151.8,680
NEWCASTLE V,AUS,837,-32.924,151.789,680
"SYDNEY, FORT DENISON 2",AUS,196,-33.855,151.226,680
"SYDNEY, FORT DENISON",AUS,65,-33.85,151.233,680
CAMP COVE,AUS,549,-33.833,151.283,680
PORT KEMBLA,AUS,831,-34.474,150.912,680
EDEN,AUS,833,-37.074,149.908,680
STONY POINT,AUS,1033,-38.372,145.225,680
BURNIE,AUS,683,-41.05,145.915,680
