Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
1611400,"Nawiliwili, HI",1955,2014,59,97,1.41,0.46,0.46,0.15,21.9544,-159.3561
1612340,"Honolulu, HI",1905,2014,109,88,1.41,0.22,0.46,0.07,21.3067,-157.8670
1612480,"Mokuoloe, HI",1957,2014,57,61,1.12,0.54,0.37,0.18,21.4331,-157.7900
1615680,"Kahului, HI",1947,2014,67,82,2.02,0.43,0.66,0.14,20.8950,-156.4767
1617760,"Hilo, HI",1927,2014,87,75,2.95,0.31,0.97,0.10,19.7303,-155.0558
1619000,Johnston Atoll,1947,2003,56,93,0.75,0.56,0.25,0.18,16.7383,-169.5300
1619910,Midway Atoll,1947,2014,67,95,1.25,0.47,0.41,0.15,28.2117,-177.3600
1630000,"Apra Harbor, Guam",1993,2014,21,95,7.23,4.61,2.37,1.51,13.4387,144.6539
1770000,"Pago Pago, American Samoa",1948,2009,61,89,2.21,0.81,0.72,0.27,-14.2800,-170.6900
1820000,Kwajalein,1946,2014,68,96,2.32,0.82,0.76,0.27,8.7316,167.7362
1840000,Chuuk,1947,1995,48,91,0.60,1.78,0.20,0.58,7.4467,151.8470
1890000,Wake Island,1950,2014,64,93,1.99,0.47,0.65,0.16,19.2900,166.6180
2695540,"Bermuda, Atlantic Ocean",1932,2014,82,30,2.03,0.39,0.67,0.13,32.3734,-64.7033
8410140,"Eastport, ME",1929,2014,85,95,2.14,0.19,0.70,0.06,44.9046,-66.9829
8413320,"Bar Harbor, ME",1947,2014,67,91,2.22,0.22,0.73,0.07,44.3917,-68.2050
8418150,"Portland, ME",1912,2014,102,99,1.90,0.15,0.62,0.05,43.6567,-70.2467
8419870,"Seavey Island, ME",1926,2001,75,74,1.76,0.30,0.58,0.10,43.0800,-70.7417
8443970,"Boston, MA",1921,2014,93,99,2.81,0.17,0.92,0.05,42.3548,-71.0534
8447930,"Woods Hole, MA",1932,2014,82,95,2.83,0.18,0.93,0.06,41.5233,-70.6717
